Deck,Player,Date,Tournament,Placement,Player_Total,Score,Decklist_url,Tournament_url,Decklists
Alakazam Weezing,Tarnes,2025-01-11,Ursiiday's Pocket Weekly #11 • 400 USD Prize,883.0,1782.0,2 - 3 - 0,/tournament/6779bb0bed2c78098c6b086b/player/tarnes/decklist,/tournament/6779bb0bed2c78098c6b086b/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""1"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""1"",""10"":""1"",""11"":""2""},""Card"":{""0"":""Abra"",""1"":""Kadabra"",""2"":""Alakazam"",""3"":""Koffing"",""4"":""Weezing"",""5"":""Mew ex"",""6"":""Professor's Research"",""7"":""Koga"",""8"":""Sabrina"",""9"":""Giovanni"",""10"":""Leaf"",""11"":""Pok\u00e9 Ball""},""Version"":{""0"":""(A1-115)"",""1"":""(A1-116)"",""2"":""(A1-117)"",""3"":""(A1-176)"",""4"":""(A1-177)"",""5"":""(A1a-32)"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Alakazam Weezing,pepomad,2024-12-27,Pokémon Millennium Pocket Free Tour #3,85.0,166.0,2 - 3 - 0,/tournament/67698eea86f3dba5340239a7/player/pepomad/decklist,/tournament/67698eea86f3dba5340239a7/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""2"",""10"":""1""},""Card"":{""0"":""Abra"",""1"":""Kadabra"",""2"":""Alakazam"",""3"":""Koffing"",""4"":""Weezing"",""5"":""Professor's Research"",""6"":""Koga"",""7"":""Sabrina"",""8"":""Giovanni"",""9"":""Pok\u00e9 Ball"",""10"":""Potion""},""Version"":{""0"":""(A1-115)"",""1"":""(A1-116)"",""2"":""(A1-117)"",""3"":""(A1-176)"",""4"":""(A1-177)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA""}}"
Alakazam Weezing,juniorsbubra,2024-12-30,No Notice Tournament #1,100.0,190.0,1 - 1 - 0,/tournament/6772aec8ed2c78098c6a1531/player/juniorsbubra/decklist,/tournament/6772aec8ed2c78098c6a1531/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""1"",""11"":""1""},""Card"":{""0"":""Abra"",""1"":""Kadabra"",""2"":""Alakazam"",""3"":""Koffing"",""4"":""Weezing"",""5"":""Professor's Research"",""6"":""Koga"",""7"":""Sabrina"",""8"":""Giovanni"",""9"":""Pok\u00e9 Ball"",""10"":""Potion"",""11"":""X Speed""},""Version"":{""0"":""(A1-115)"",""1"":""(A1-116)"",""2"":""(A1-117)"",""3"":""(A1-176)"",""4"":""(A1-177)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Alakazam Weezing,hhorrox,2025-01-17,🐢Pocket Turtle Weekly 8 🐢,72.0,135.0,2 - 3 - 0,/tournament/67769879ed2c78098c6a7436/player/hhorrox/decklist,/tournament/67769879ed2c78098c6a7436/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""2"",""10"":""1""},""Card"":{""0"":""Koffing"",""1"":""Weezing"",""2"":""Abra"",""3"":""Kadabra"",""4"":""Alakazam"",""5"":""Koga"",""6"":""Professor's Research"",""7"":""Giovanni"",""8"":""Sabrina"",""9"":""Pok\u00e9 Ball"",""10"":""X Speed""},""Version"":{""0"":""(A1-176)"",""1"":""(A1-177)"",""2"":""(A1-115)"",""3"":""(A1-116)"",""4"":""(A1-117)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA""}}"
Alakazam Weezing,Kirtash,2024-12-22,PumaTour - TCGP ARG #2,86.0,161.0,1 - 2 - 0,/tournament/6760aee695f729096d72d080/player/kirtash/decklist,/tournament/6760aee695f729096d72d080/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""2"",""10"":""1""},""Card"":{""0"":""Koffing"",""1"":""Weezing"",""2"":""Abra"",""3"":""Kadabra"",""4"":""Alakazam"",""5"":""Sabrina"",""6"":""Koga"",""7"":""Professor's Research"",""8"":""Giovanni"",""9"":""Pok\u00e9 Ball"",""10"":""Red Card""},""Version"":{""0"":""(A1-176)"",""1"":""(A1-177)"",""2"":""(A1-115)"",""3"":""(A1-116)"",""4"":""(A1-117)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA""}}"
Gyarados ex Mew ex,adrienfelix1806,2025-01-04,Ursiiday's Pocket Weekly #10 • 400 USD Prize,76.0,1995.0,8 - 2 - 0,/tournament/67708cb5ed2c78098c69d24f/player/adrienfelix1806/decklist,/tournament/67708cb5ed2c78098c69d24f/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Magikarp"",""1"":""Gyarados ex"",""2"":""Mew ex"",""3"":""Articuno ex"",""4"":""Professor's Research"",""5"":""Misty"",""6"":""Giovanni"",""7"":""Budding Expeditioner"",""8"":""Sabrina"",""9"":""Pok\u00e9 Ball"",""10"":""X Speed"",""11"":""Potion""},""Version"":{""0"":""(A1a-17)"",""1"":""(A1a-18)"",""2"":""(A1a-32)"",""3"":""(A1-84)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Gyarados ex Mew ex,sejisejita,2024-12-23,Monday Meta Tourney #4,11.0,256.0,5 - 2 - 0,/tournament/676841d086f3dba534021b50/player/sejisejita/decklist,/tournament/676841d086f3dba534021b50/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""2"",""10"":""1"",""11"":""1""},""Card"":{""0"":""Magikarp"",""1"":""Gyarados ex"",""2"":""Druddigon"",""3"":""Mew ex"",""4"":""Professor's Research"",""5"":""Misty"",""6"":""Leaf"",""7"":""Giovanni"",""8"":""Sabrina"",""9"":""Pok\u00e9 Ball"",""10"":""Potion"",""11"":""Red Card""},""Version"":{""0"":""(A1a-17)"",""1"":""(A1a-18)"",""2"":""(A1a-56)"",""3"":""(A1a-32)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Gyarados ex Mew ex,noonwwnoon,2025-01-23,Gabut Tournament #2,5.0,63.0,5 - 2 - 0,/tournament/678c5f45010576265d1167dd/player/noonwwnoon/decklist,/tournament/678c5f45010576265d1167dd/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""1"",""10"":""1"",""11"":""2""},""Card"":{""0"":""Magikarp"",""1"":""Gyarados ex"",""2"":""Druddigon"",""3"":""Mew ex"",""4"":""Budding Expeditioner"",""5"":""Leaf"",""6"":""Misty"",""7"":""Professor's Research"",""8"":""Blue"",""9"":""Giovanni"",""10"":""Sabrina"",""11"":""Pok\u00e9 Ball""},""Version"":{""0"":""(A1a-17)"",""1"":""(A1a-18)"",""2"":""(A1a-56)"",""3"":""(A1a-32)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Gyarados ex Mew ex,Rodrigolm,2025-01-23,🐸FrogEX Weekly Cup #4 • 50 USD Prize🐸,63.0,431.0,6 - 3 - 0,/tournament/678929e6010576265d10e429/player/rodrigolm/decklist,/tournament/678929e6010576265d10e429/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""2"",""8"":""2"",""9"":""2"",""10"":""1""},""Card"":{""0"":""Magikarp"",""1"":""Gyarados ex"",""2"":""Druddigon"",""3"":""Mew ex"",""4"":""Professor's Research"",""5"":""Misty"",""6"":""Sabrina"",""7"":""Leaf"",""8"":""Potion"",""9"":""Pok\u00e9 Ball"",""10"":""X Speed""},""Version"":{""0"":""(A1a-17)"",""1"":""(A1a-18)"",""2"":""(A1a-56)"",""3"":""(A1a-32)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA""}}"
Gyarados ex Mew ex,Menandro,2024-12-28,Pocket Legends League #13 (Season 1) - $50 USD,77.0,470.0,5 - 3 - 0,/tournament/676d04c086f3dba5340281a4/player/menandro/decklist,/tournament/676d04c086f3dba5340281a4/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""1"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""2"",""10"":""1"",""11"":""2"",""12"":""2""},""Card"":{""0"":""Magikarp"",""1"":""Gyarados ex"",""2"":""Froakie"",""3"":""Frogadier"",""4"":""Greninja"",""5"":""Druddigon"",""6"":""Mew ex"",""7"":""Professor's Research"",""8"":""Giovanni"",""9"":""Misty"",""10"":""Sabrina"",""11"":""Pok\u00e9 Ball"",""12"":""X Speed""},""Version"":{""0"":""(A1a-17)"",""1"":""(A1a-18)"",""2"":""(A1-87)"",""3"":""(A1-88)"",""4"":""(A1-89)"",""5"":""(A1a-56)"",""6"":""(A1a-32)"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
