Deck,Player,Date,Tournament,Placement,Player_Total,Score,Decklist_url,Tournament_url,Decklists
Pachirisu ex Zapdos ex,dazbee,2025-02-15,Ursiiday's Pocket Weekly #16 • 400 USD Prize,347.0,1651.0,4 - 2 - 0,/tournament/67a7eb610086ca7747c7d5c4/player/dazbee/decklist,/tournament/67a7eb610086ca7747c7d5c4/details,"{""Amount"":{""0"":""2"",""1"":""1"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""1"",""6"":""2"",""7"":""2"",""8"":""2"",""9"":""2"",""10"":""2""},""Card"":{""0"":""Pachirisu ex"",""1"":""Zapdos ex"",""2"":""Cyrus"",""3"":""Sabrina"",""4"":""Professor's Research"",""5"":""Mars"",""6"":""Potion"",""7"":""X Speed"",""8"":""Pok\u00e9 Ball"",""9"":""Giant Cape"",""10"":""Rocky Helmet""},""Version"":{""0"":""(A2-61)"",""1"":""(A1-104)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA""}}"
Pachirisu ex Zapdos ex,Aki11010k0,2025-02-23,140$ Prize PGR Space-Time Live! Code on Discord,100.0,435.0,4 - 2 - 0,/tournament/678655be999616eb3739c861/player/aki11010k0/decklist,/tournament/678655be999616eb3739c861/details,"{""Amount"":{""0"":""2"",""1"":""1"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""1"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""1"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Pachirisu ex"",""1"":""Zapdos ex"",""2"":""Professor's Research"",""3"":""Sabrina"",""4"":""Dawn"",""5"":""Cyrus"",""6"":""Mars"",""7"":""Potion"",""8"":""Pok\u00e9 Ball"",""9"":""X Speed"",""10"":""Giant Cape"",""11"":""Rocky Helmet""},""Version"":{""0"":""(A2-61)"",""1"":""(A1-104)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Pachirisu ex Zapdos ex,ying_og,2025-02-04,The Dark League Tuesday #1,102.0,442.0,4 - 3 - 0,/tournament/679f6144aefa8d3c809f2811/player/ying_og/decklist,/tournament/679f6144aefa8d3c809f2811/details,"{""Amount"":{""0"":""2"",""1"":""1"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""2"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Pachirisu ex"",""1"":""Zapdos ex"",""2"":""Professor's Research"",""3"":""Cyrus"",""4"":""Dawn"",""5"":""Mars"",""6"":""Sabrina"",""7"":""Pok\u00e9 Ball"",""8"":""X Speed"",""9"":""Potion"",""10"":""Giant Cape"",""11"":""Rocky Helmet""},""Version"":{""0"":""(A2-61)"",""1"":""(A1-104)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Pachirisu ex Zapdos ex,efenix,2025-02-23,👑 COPA CYNTHIA VR SPECIAL 🐲|COPICLOL| $50 USD,108.0,384.0,3 - 2 - 1,/tournament/67b76d850b3322ebaa50f061/player/efenix/decklist,/tournament/67b76d850b3322ebaa50f061/details,"{""Amount"":{""0"":""2"",""1"":""1"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""1"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""1"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Pachirisu ex"",""1"":""Zapdos ex"",""2"":""Professor's Research"",""3"":""Sabrina"",""4"":""Dawn"",""5"":""Cyrus"",""6"":""Mars"",""7"":""Potion"",""8"":""Pok\u00e9 Ball"",""9"":""X Speed"",""10"":""Giant Cape"",""11"":""Rocky Helmet""},""Version"":{""0"":""(A2-61)"",""1"":""(A1-104)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Pachirisu ex Zapdos ex,ssEisen,2025-02-25,⚡ #0 FASTER THAN THE LIGHT TOURNAMENT ⚡,75.0,260.0,4 - 3 - 0,/tournament/67bce8db0b3322ebaa513d9e/player/sseisen/decklist,/tournament/67bce8db0b3322ebaa513d9e/details,"{""Amount"":{""0"":""2"",""1"":""1"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""1"",""11"":""2"",""12"":""2""},""Card"":{""0"":""Pachirisu ex"",""1"":""Zapdos ex"",""2"":""Professor's Research"",""3"":""Sabrina"",""4"":""Blue"",""5"":""Cyrus"",""6"":""Dawn"",""7"":""Mars"",""8"":""Potion"",""9"":""Pok\u00e9 Ball"",""10"":""X Speed"",""11"":""Giant Cape"",""12"":""Rocky Helmet""},""Version"":{""0"":""(A2-61)"",""1"":""(A1-104)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Pachirisu ex Zapdos ex,Pedro S,2025-02-20,🔥 Torneio TD PADRÃO ✔️ - 3#/Fevereiro - Free - BR,48.0,147.0,4 - 3 - 0,/tournament/67b25a3678c0b32318817283/player/pedro1987/decklist,/tournament/67b25a3678c0b32318817283/details,"{""Amount"":{""0"":""2"",""1"":""1"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""2"",""8"":""2"",""9"":""2"",""10"":""1""},""Card"":{""0"":""Pachirisu ex"",""1"":""Zapdos ex"",""2"":""Cyrus"",""3"":""Sabrina"",""4"":""Professor's Research"",""5"":""Potion"",""6"":""X Speed"",""7"":""Pok\u00e9 Ball"",""8"":""Giant Cape"",""9"":""Rocky Helmet"",""10"":""Lum Berry""},""Version"":{""0"":""(A2-61)"",""1"":""(A1-104)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA""}}"
Magnezone Druddigon,Charanko,2025-02-23,🌐 Narnia's Lamp League S2 #3 🌐,6.0,128.0,6 - 2 - 0,/tournament/67a9e50005f4a8b0fc573048/player/charanko/decklist,/tournament/67a9e50005f4a8b0fc573048/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Magnemite"",""1"":""Magneton"",""2"":""Magnezone"",""3"":""Druddigon"",""4"":""Chatot"",""5"":""Professor's Research"",""6"":""Cyrus"",""7"":""Leaf"",""8"":""Sabrina"",""9"":""Pok\u00e9 Ball"",""10"":""Potion"",""11"":""Giant Cape"",""12"":""Rocky Helmet""},""Version"":{""0"":""(A2-51)"",""1"":""(A1-98)"",""2"":""(A2-53)"",""3"":""(A1a-56)"",""4"":""(A1a-62)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Magnezone Druddigon,seraru,2025-02-12,The Dark League Wednesday #6 100$ prize pool,31.0,600.0,7 - 3 - 1,/tournament/67a90fc205f4a8b0fc572664/player/seraru/decklist,/tournament/67a90fc205f4a8b0fc572664/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""1"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""1"",""12"":""1"",""13"":""1""},""Card"":{""0"":""Magnemite"",""1"":""Magneton"",""2"":""Magnezone"",""3"":""Druddigon"",""4"":""Shaymin"",""5"":""Kangaskhan"",""6"":""Professor's Research"",""7"":""Cyrus"",""8"":""Sabrina"",""9"":""Leaf"",""10"":""Pok\u00e9 Ball"",""11"":""Pok\u00e9mon Communication"",""12"":""Potion"",""13"":""Giant Cape""},""Version"":{""0"":""(A2-51)"",""1"":""(A1-98)"",""2"":""(A2-53)"",""3"":""(A1a-56)"",""4"":""(A2-22)"",""5"":""(A1-203)"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA"",""13"":""NA""}}"
Magnezone Druddigon,Nakano9gou,2025-02-23,🌐 Narnia's Lamp League S2 #3 🌐,7.0,128.0,6 - 2 - 0,/tournament/67a9e50005f4a8b0fc573048/player/nakano9gou/decklist,/tournament/67a9e50005f4a8b0fc573048/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Magnemite"",""1"":""Magneton"",""2"":""Magnezone"",""3"":""Druddigon"",""4"":""Kangaskhan"",""5"":""Professor's Research"",""6"":""Sabrina"",""7"":""Leaf"",""8"":""Cyrus"",""9"":""Pok\u00e9 Ball"",""10"":""Pok\u00e9mon Communication"",""11"":""Rocky Helmet""},""Version"":{""0"":""(A2-51)"",""1"":""(A1-98)"",""2"":""(A2-53)"",""3"":""(A1a-56)"",""4"":""(A1-203)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Magnezone Druddigon,GarboHanzo,2025-02-23,🌐 Narnia's Lamp League S2 #3 🌐,10.0,128.0,5 - 2 - 0,/tournament/67a9e50005f4a8b0fc573048/player/garbohanzo/decklist,/tournament/67a9e50005f4a8b0fc573048/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Magnemite"",""1"":""Magneton"",""2"":""Magnezone"",""3"":""Druddigon"",""4"":""Professor's Research"",""5"":""Leaf"",""6"":""Giovanni"",""7"":""Sabrina"",""8"":""Cyrus"",""9"":""Pok\u00e9mon Communication"",""10"":""Pok\u00e9 Ball"",""11"":""Giant Cape""},""Version"":{""0"":""(A2-51)"",""1"":""(A1-98)"",""2"":""(A2-53)"",""3"":""(A1a-56)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
